iter	RMSE
0	4.602168161
1	4.135237487
2	3.71947418
3	3.402292966
4	3.124507452
5	2.880229641
6	2.681805674
7	2.520652203
8	2.379966193
9	2.273344276
10	2.172139186
11	2.102291639
12	2.038255189
13	1.985697837
14	1.951875884
15	1.918536496
16	1.891405383
17	1.866443256
18	1.843504372
19	1.823937522
20	1.809366748
21	1.795704155
22	1.782922115
23	1.771537866
24	1.762495642
25	1.754299226
26	1.743635782
27	1.733710287
28	1.726603444
29	1.71857417
30	1.712887142
31	1.707433811
32	1.700503324
33	1.694441034
34	1.689510918
35	1.682393874
36	1.675178998
37	1.673006295
38	1.665817803
39	1.661179298
40	1.656385826
41	1.650674137
42	1.644725561
43	1.637907775
44	1.635527709
45	1.630342947
46	1.625936867
47	1.622882604
48	1.619364533
49	1.614592614
50	1.610045583
51	1.603995605
52	1.599900811
53	1.595093238
54	1.589707423
55	1.581031249
56	1.577946586
57	1.57293004
58	1.569043418
59	1.564357788
60	1.559758105
61	1.555652807
62	1.551391048
63	1.545208587
64	1.542375703
65	1.535556449
66	1.530705245
67	1.526203163
68	1.521283566
69	1.51580572
70	1.510068964
71	1.506253636
72	1.50255869
73	1.497657701
74	1.494590432
75	1.490610141
76	1.488352224
77	1.483827442
78	1.480485308
79	1.475169034
80	1.471482501
81	1.465515725
82	1.460242264
83	1.458218485
84	1.454777931
85	1.451749049
86	1.447818174
87	1.444042909
88	1.442453033
89	1.437549657
90	1.434110076
91	1.431015274
92	1.427374961
93	1.422290305
94	1.41933953
95	1.415882686
96	1.410918221
97	1.408741184
98	1.405512555
99	1.402988921
100	1.400800343
101	1.397959687
102	1.392830169
103	1.390540566
104	1.387462737
105	1.384996278
106	1.383434953
107	1.38101594
108	1.376443714
109	1.374655404
110	1.368912088
111	1.365005275
112	1.360893726
113	1.358501242
114	1.355160125
115	1.352627913
116	1.349967355
117	1.34806432
118	1.345262534
119	1.343382217
120	1.341724506
121	1.339123241
122	1.336087617
123	1.334290616
124	1.32984524
125	1.327274391
126	1.32327698
127	1.320482448
128	1.319179063
129	1.317318688
130	1.314853388
131	1.313007091
132	1.311298157
133	1.308146028
134	1.305863872
135	1.303501607
136	1.302416439
137	1.299563891
138	1.298495245
139	1.294464006
140	1.291700481
141	1.288979513
142	1.287319653
143	1.285437985
144	1.28232129
145	1.279258556
146	1.276996937
147	1.274257782
148	1.270840615
149	1.266601705
150	1.262875052
151	1.261066107
152	1.259061842
153	1.256847644
154	1.254006313
155	1.252284397
156	1.249737915
157	1.247845934
158	1.246362064
159	1.245164336
160	1.242429367
161	1.24064444
162	1.239004693
163	1.235882665
164	1.233615621
165	1.231396065
166	1.230310565
167	1.228761231
168	1.22654947
169	1.22440242
170	1.222080903
171	1.220160416
172	1.217349054
173	1.215644014
174	1.213344858
175	1.211930436
176	1.210302426
177	1.208615489
178	1.206691553
179	1.205044755
180	1.203741876
181	1.200668193
182	1.199187507
183	1.197559994
184	1.195217187
185	1.192432704
186	1.191119281
187	1.189176525
188	1.187539145
189	1.186427233
190	1.18479148
191	1.18231002
192	1.180717087
193	1.179400973
194	1.177363188
195	1.176142215
196	1.17439161
197	1.172686196
198	1.171283431
199	1.168606173
200	1.167010124
201	1.165866078
202	1.16450228
203	1.16241718
204	1.160486363
205	1.158087759
206	1.156087849
207	1.153428617
208	1.152426782
209	1.151464511
210	1.150331952
211	1.147175242
212	1.145569614
213	1.144325913
214	1.142514754
215	1.141517018
216	1.139983195
217	1.139106042
218	1.137757056
219	1.136989898
220	1.135556022
221	1.134282866
222	1.133251821
223	1.130976502
224	1.129086087
225	1.127472537
226	1.126816692
227	1.125649163
228	1.123948002
229	1.122713029
230	1.120290604
231	1.118432003
232	1.116016139
233	1.1146779
234	1.112259672
235	1.110861411
236	1.109903727
237	1.10818901
238	1.106010516
239	1.104276841
240	1.102800461
241	1.100074206
242	1.09779316
243	1.09657785
244	1.095388052
245	1.093972026
246	1.093032528
247	1.09153749
248	1.090652907
249	1.089178346
250	1.087324085
251	1.085906465
252	1.084203495
253	1.08279446
254	1.081699605
255	1.080208355
256	1.079398572
257	1.077884042
258	1.075646307
259	1.073864312
260	1.072246376
261	1.071251326
262	1.069761102
263	1.068572666
264	1.06671372
265	1.064888969
266	1.062156094
267	1.060867721
268	1.059724416
269	1.058808354
270	1.057288195
271	1.055157918
272	1.052366731
273	1.0508425
274	1.049273229
275	1.048216939
276	1.04723011
277	1.045701835
278	1.044206241
279	1.042720605
280	1.04170496
281	1.039870488
282	1.038074045
283	1.036681582
284	1.035280225
285	1.034326483
286	1.033095101
287	1.031079448
288	1.030476354
289	1.029329539
290	1.028623167
291	1.027511135
292	1.026487877
293	1.02566702
294	1.024546898
295	1.02243975
296	1.021215889
297	1.019492771
298	1.018074227
299	1.016883899
