iter	Passed	Remaining
0	159	47565
1	162	24283
2	167	16611
3	171	12723
4	175	10372
5	179	8808
6	182	7655
7	186	6813
8	190	6150
9	193	5609
10	196	5163
11	199	4791
12	202	4480
13	206	4211
14	209	3976
15	212	3775
16	215	3592
17	218	3429
18	222	3284
19	225	3152
20	228	3032
21	231	2921
22	234	2825
23	237	2731
24	240	2645
25	243	2567
26	246	2493
27	249	2424
28	252	2358
29	255	2298
30	258	2242
31	261	2189
32	264	2138
33	267	2092
34	270	2048
35	275	2021
36	279	1989
37	284	1963
38	288	1932
39	294	1911
40	296	1875
41	299	1841
42	302	1809
43	305	1778
44	308	1748
45	311	1719
46	314	1691
47	317	1665
48	320	1640
49	322	1614
50	325	1590
51	328	1567
52	331	1544
53	334	1522
54	337	1501
55	340	1481
56	342	1462
57	345	1442
58	348	1423
59	351	1405
60	354	1388
61	357	1371
62	360	1355
63	363	1338
64	365	1323
65	368	1307
66	371	1292
67	374	1277
68	377	1263
69	380	1249
70	383	1236
71	386	1222
72	388	1209
73	391	1196
74	394	1183
75	397	1172
76	400	1160
77	403	1149
78	406	1137
79	409	1126
80	412	1115
81	415	1104
82	418	1094
83	421	1083
84	424	1073
85	427	1062
86	430	1052
87	432	1043
88	435	1033
89	438	1023
90	441	1014
91	444	1005
92	447	996
93	450	987
94	453	978
95	456	970
96	459	961
97	462	952
98	465	944
99	467	935
100	470	927
101	473	919
102	476	911
103	479	903
104	482	896
105	485	888
106	488	880
107	491	873
108	494	865
109	496	858
110	500	851
111	503	844
112	506	838
113	509	830
114	512	823
115	514	816
116	518	810
117	521	803
118	524	797
119	526	790
120	529	783
121	532	777
122	535	770
123	538	764
124	541	758
125	544	752
126	547	745
127	550	739
128	553	733
129	556	727
130	558	721
131	561	714
132	564	708
133	567	703
134	570	697
135	573	691
136	575	685
137	578	679
138	581	673
139	584	668
140	587	662
141	590	656
142	593	651
143	596	645
144	599	640
145	601	634
146	604	629
147	607	624
148	610	618
149	613	613
150	616	608
151	619	603
152	622	598
153	625	593
154	628	588
155	631	583
156	634	578
157	638	573
158	641	568
159	644	563
160	647	558
161	650	553
162	653	548
163	656	544
164	659	539
165	662	534
166	665	529
167	667	524
168	670	519
169	673	515
170	676	510
171	679	505
172	682	500
173	685	496
174	688	491
175	691	487
176	694	482
177	697	477
178	700	473
179	703	468
180	705	464
181	708	459
182	711	455
183	714	450
184	717	446
185	720	441
186	723	437
187	726	432
188	729	428
189	732	423
190	735	419
191	738	415
192	740	410
193	743	406
194	746	402
195	749	397
196	752	393
197	755	389
198	758	384
199	761	380
200	764	376
201	766	372
202	769	367
203	772	363
204	775	359
205	778	355
206	781	351
207	784	346
208	787	342
209	790	338
210	793	334
211	796	330
212	799	326
213	802	322
214	805	318
215	807	314
216	811	310
217	813	306
218	816	302
219	820	298
220	822	294
221	825	290
222	828	286
223	831	282
224	834	278
225	837	274
226	840	270
227	843	266
228	846	262
229	849	258
230	851	254
231	854	250
232	857	246
233	860	242
234	863	238
235	866	235
236	869	231
237	872	227
238	875	223
239	878	219
240	881	215
241	884	212
242	887	208
243	890	204
244	893	200
245	896	196
246	899	192
247	902	189
248	904	185
249	907	181
250	910	177
251	913	174
252	916	170
253	919	166
254	922	162
255	925	159
256	928	155
257	931	151
258	934	147
259	936	144
260	939	140
261	942	136
262	945	133
263	948	129
264	951	125
265	954	122
266	957	118
267	960	114
268	963	111
269	966	107
270	969	103
271	972	100
272	975	96
273	978	92
274	981	89
275	984	85
276	987	81
277	990	78
278	993	74
279	996	71
280	999	67
281	1002	63
282	1005	60
283	1008	56
284	1011	53
285	1014	49
286	1017	46
287	1020	42
288	1023	38
289	1026	35
290	1029	31
291	1032	28
292	1035	24
293	1037	21
294	1040	17
295	1044	14
296	1047	10
297	1050	7
298	1053	3
299	1055	0
