model,nominal_confidence,empirical_coverage,gap_percentage_points,verdict
GP,0.5,0.6340468909276249,13.404689092762489,underconfident
GP,0.68,0.77217125382263,9.217125382262992,underconfident
GP,0.8,0.8537206931702345,5.372069317023442,underconfident
GP,0.9,0.9016309887869521,0.16309887869521145,well-calibrated
GP,0.95,0.9347604485219164,-1.5239551478083535,well-calibrated
GP,0.99,0.9663608562691132,-2.3639143730886825,well-calibrated
BayesianRidge,0.5,0.6289500509683996,12.895005096839963,underconfident
BayesianRidge,0.68,0.7849133537206932,10.49133537206931,underconfident
BayesianRidge,0.8,0.8588175331294597,5.881753312945969,underconfident
BayesianRidge,0.9,0.9138634046890928,1.386340468909275,well-calibrated
BayesianRidge,0.95,0.9383282364933742,-1.1671763506625799,well-calibrated
BayesianRidge,0.99,0.9648318042813455,-2.5168195718654474,well-calibrated
