well_id,Station Code,Station Name,State,District,Latitude,Longitude,Well Depth,period,gwl,measurement_month_start,soil_moisture_1m,soil_moisture_3m,soil_moisture_6m,soil_moisture_12m,et_1m,et_3m,et_6m,et_12m,rainfall_1m,rainfall_3m,rainfall_6m,rainfall_12m,grace_tws_1m,grace_tws_3m,grace_tws_6m,grace_tws_12m,welltype_Bore well,welltype_Dug well,welltype_Tube well,aquifer_-,aquifer_Confined,aquifer_Semi-confined,aquifer_Unconfined,gwl_lag1,gwl_lag2,gwl_lag3,gwl_lag4
13.0167_78.5,130100000000000.0,Venkatagirikota,Andhra pradesh,Chittoor,13.0167,78.5,15.2,May-03,14.36999989,2003-05-01,17.620397295270646,15.68770912715367,19.797851971217565,24.0906891141619,8.909011350104784e-06,1.0410705012223584e-05,1.973576438883486e-05,2.548123068533772e-05,26.97349598801252,40.44397690226732,96.32004598159234,840.7682862605864,-18.02735604752083,-17.497137421754957,-7.843434544930636,-5.086156228745185,False,True,False,False,False,False,True,8.479999542,14.36999989,7.739999771,6.170000076
13.0167_78.5,130100000000000.0,Venkatagirikota,Andhra pradesh,Chittoor,13.0167,78.5,15.2,Aug-03,10.11999989,2003-08-01,32.52424948556083,24.296401841299875,20.045325687953405,23.967126573835102,3.4808120939747565e-05,2.204306500581359e-05,1.622812110976416e-05,2.463305320686361e-05,190.5391046561084,339.2901134595129,379.7340903617803,812.5435647154318,,-16.45881054419379,-20.830833814777044,-8.187504035567985,False,True,False,False,False,False,True,14.36999989,8.479999542,14.36999989,7.739999771
13.0167_78.5,130100000000000.0,Venkatagirikota,Andhra pradesh,Chittoor,13.0167,78.5,15.2,Nov-03,10.07999992,2003-11-01,35.58782250540597,33.286804744175505,28.835994175502236,24.283731733049663,3.861448125722485e-05,4.343851755298342e-05,3.276722340420487e-05,2.616794673875639e-05,191.55069753035755,425.4341716002492,768.2796874590291,849.340396154274,,-0.7881828283348321,-6.7495586525107765,-11.19124925094611,False,True,False,False,False,False,True,10.11999989,14.36999989,8.479999542,14.36999989
13.0167_78.5,130100000000000.0,Venkatagirikota,Andhra pradesh,Chittoor,13.0167,78.5,15.2,Jan-04,11.78999996,2004-01-01,23.865701130458287,30.13862173897879,31.23891653333391,24.33335985456194,3.075048984361014e-05,3.64032390020189e-05,3.928408217948994e-05,2.653389986205314e-05,25.53853383110565,252.76331637206587,680.7412974973327,873.6639651036957,,-2.08048343138416,-2.9400781857235283,-11.165543299080204,False,True,False,False,False,False,True,10.07999992,10.11999989,14.36999989,8.479999542
13.0167_78.5,130100000000000.0,Venkatagirikota,Andhra pradesh,Chittoor,13.0167,78.5,15.2,May-04,13.75,2004-05-01,21.246203422546387,16.664161682128906,20.486784390040807,24.67282676696777,1.2998105440991431e-05,1.1727465919518312e-05,2.087402559222288e-05,2.6836917121337528e-05,46.17993233967753,60.63806938430638,128.55175895829802,896.8314464173271,-29.512037464697872,-21.96035873388256,-12.66141926980892,-10.296675022889664,False,True,False,False,False,False,True,11.78999996,10.07999992,10.11999989,14.36999989
13.0167_78.5,130100000000000.0,Venkatagirikota,Andhra pradesh,Chittoor,13.0167,78.5,15.2,Aug-04,13.06999969,2004-08-01,29.92054653167725,30.178273882184712,23.475512095860072,26.092047555106028,3.565365971423619e-05,3.3255363502706e-05,2.2530762700106216e-05,2.9552617628983823e-05,261.3939988914045,492.7791428913191,553.4172122756255,1046.7650734498663,,-9.093482635781555,-17.729056806915384,-10.730740537760711,False,True,False,False,False,False,True,13.75,11.78999996,10.07999992,10.11999989
13.0167_78.5,130100000000000.0,Venkatagirikota,Andhra pradesh,Chittoor,13.0167,78.5,15.2,Nov-04,10.06999969,2004-11-01,36.64678382873535,33.130723680768696,31.65908568246024,26.048771858215336,3.89213551638282e-05,4.087642420407584e-05,3.711196196880857e-05,2.8952418818205065e-05,180.2931068522259,522.4091904788341,1015.1883333701531,1143.7400923284513,,-1.7174679534290915,-4.96901616565028,-11.216117046117272,False,True,False,False,False,False,True,13.06999969,13.75,11.78999996,10.07999992
13.0167_78.5,130100000000000.0,Venkatagirikota,Andhra pradesh,Chittoor,13.0167,78.5,15.2,Jan-05,11.39999962,2005-01-01,24.01058959960937,31.54397160666329,31.23554188864572,26.3491622379848,3.426105026197287e-05,3.6007960651269446e-05,3.794505157981933e-05,2.8861664369677396e-05,10.468758147897072,251.65249997203787,855.1625824900507,1153.8868666065548,,8.549399860882803,2.0881368330154637,-8.721241516037727,False,True,False,False,False,False,True,10.06999969,13.06999969,13.75,11.78999996
13.0167_78.5,130100000000000.0,Venkatagirikota,Andhra pradesh,Chittoor,13.0167,78.5,15.2,May-05,12.22999954,2005-05-01,22.27497100830078,17.147727148873464,21.247105870928085,26.481699807303293,1.663168833536994e-05,1.2947794272934384e-05,2.1717964305675457e-05,2.945725477080227e-05,69.95700573921204,88.28477535664457,162.7022692786837,1177.8906026488369,-27.74215736402325,-24.833594577416576,-10.81447814524465,-8.157449972701754,False,True,False,False,False,False,True,11.39999962,10.06999969,13.06999969,13.75
13.0167_78.5,130100000000000.0,Venkatagirikota,Andhra pradesh,Chittoor,13.0167,78.5,15.2,Aug-05,11.77999973,2005-08-01,28.156728063310894,26.41563674381801,21.874821662902832,25.51482255118234,3.2935050122822365e-05,2.948179085901107e-05,2.1384439215970425e-05,2.843335148229796e-05,236.1103389888134,460.0113505622716,546.1731272183575,1145.1228103197896,,-15.963507449095584,-23.146880734177635,-11.698948060273478,False,True,False,False,False,False,True,12.22999954,11.39999962,10.06999969,13.06999969
13.0167_78.5,130100000000000.0,Venkatagirikota,Andhra pradesh,Chittoor,13.0167,78.5,15.2,Nov-05,3.210000038,2005-11-01,37.29382269723075,33.40229279654366,29.888186727251323,25.554416384015763,3.70188840211735e-05,4.320412153901998e-05,3.633661097930079e-05,2.907478886170013e-05,407.19151438555673,709.6001614737279,1169.6115120359996,1332.3137813146832,,6.365728649734529,-5.4396052537321005,-12.243834514507574,False,True,False,False,False,False,True,11.77999973,12.22999954,11.39999962,10.06999969
13.0167_78.5,130100000000000.0,Venkatagirikota,Andhra pradesh,Chittoor,13.0167,78.5,15.2,Jan-06,4.369999886,2006-01-01,34.06518064226423,36.148210525512695,33.229997634887695,26.698246683393204,2.969620761307721e-05,3.351247635561906e-05,3.7671459722332656e-05,2.856611120348264e-05,47.97716353703471,605.4057756187847,1143.9247616957691,1459.1686494280991,,26.2017626702522,11.426502794007014,-7.066808513354258,False,True,False,False,False,False,True,3.210000038,11.77999973,12.22999954,11.39999962
13.0167_78.5,130100000000000.0,Venkatagirikota,Andhra pradesh,Chittoor,13.0167,78.5,15.2,May-06,6.71999979,2006-05-01,17.716552598135813,18.497138023376465,25.38563905443464,27.64928231920515,1.4090298334070083e-05,1.9746238649531733e-05,2.5441494472033806e-05,3.091898452112219e-05,48.0798805014601,87.86687493092806,288.79100809976893,1458.4025201357686,-4.807755752359872,-3.6472076090315872,8.137570769317382,1.9661271224767076,False,True,False,False,False,False,True,4.369999886,3.210000038,11.77999973,12.22999954
13.0167_78.5,130100000000000.0,Venkatagirikota,Andhra pradesh,Chittoor,13.0167,78.5,15.2,Aug-06,11.77000046,2006-08-01,25.67328235081264,26.098573003496444,22.333409445626398,27.547862734113423,3.518584812159783e-05,3.246275030375858e-05,2.612402464105149e-05,3.161084012910058e-05,123.2913051160794,393.4053212971363,481.2721962280644,1391.7964908706333,,-4.00031531354812,-5.148670425375076,3.921880182770699,False,True,False,False,False,False,True,6.71999979,4.369999886,3.210000038,11.77999973
13.0167_78.5,130100000000000.0,Venkatagirikota,Andhra pradesh,Chittoor,13.0167,78.5,15.2,Nov-06,5.710000038,2006-11-01,33.34734780447824,31.28731986454555,28.678437641688756,26.98009695325579,4.273388471379544e-05,4.319838418658556e-05,3.784435284615028e-05,3.1618561739118635e-05,124.97273755073546,346.19253572676945,739.5978570239057,1019.1083843684892,,9.347729170396894,2.067028309044743,1.7071919112044447,False,True,False,False,False,False,True,11.77000046,6.71999979,4.369999886,3.210000038
13.0167_78.5,130100000000000.0,Venkatagirikota,Andhra pradesh,Chittoor,13.0167,78.5,15.2,Jan-07,12.67000008,2007-01-01,25.961922918047225,31.09160545894078,29.9032678604126,26.07014356340681,2.871892060544009e-05,3.4286923567248907e-05,3.751407218390211e-05,3.135445954935026e-05,27.942169365373637,223.18915750216516,567.7002607942785,928.3910238418764,,13.558253964127587,9.090456020115026,1.4631324880531555,False,True,False,False,False,False,True,5.710000038,11.77000046,6.71999979,4.369999886
13.0167_78.5,130100000000000.0,Venkatagirikota,Andhra pradesh,Chittoor,13.0167,78.5,15.2,May-07,12.97000027,2007-05-01,18.74632617405483,16.0206527028765,21.16669055393764,24.943200520106725,1.4645783916681209e-05,1.3547155309164998e-05,2.0845454205950125e-05,2.939160445488856e-05,81.06497173401915,84.45596830358782,185.2118553721789,924.8097123960848,-15.536170975225216,-8.287820164235075,0.4956898245079026,1.2099345902064664,False,True,False,False,False,False,True,12.67000008,5.710000038,11.77000046,6.71999979
