model,rmse,mae,r2,nse
CatBoost,2.120055632911724,1.318503712002589,0.8613687165581595,0.8613687165581595
RandomForest,2.121848538560776,1.2864750794832598,0.8611341397796776,0.8611341397796776
LightGBM,2.128694482179942,1.2726610166168795,0.8602366191015134,0.8602366191015134
XGBoost,2.1511445032012326,1.3262517799815754,0.857273078296932,0.857273078296932
MLP,2.208638699874785,1.4374197674255387,0.8495417229795847,0.8495417229795847
BayesianRidge,2.2098872853547364,1.401672629066026,0.849371561041864,0.849371561041864
LinearRegression,2.210905239368609,1.404701790089669,0.8492327592664254,0.8492327592664254
GaussianProcess,2.2115247614098044,1.4097048410583355,0.8491482538670376,0.8491482538670376
KNN,2.4622222290511986,1.6513394503078491,0.8130087759348972,0.8130087759348972
DecisionTree,2.9194112403549806,1.8491590287074415,0.7371201607332153,0.7371201607332153
Persistence,2.9300427923320997,1.8478083647849135,0.7352020276843967,0.7352020276843967
